"['Men', 'Designers', 'Saint Laurent', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/17/P00492216.jpg,Saint Laurent,Wyatt Chelsea boots,€ 795,,,P00492216,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 40.5 / EU 40.5', 'EU_ 41 / EU 41', 'EU_ 41.5 / EU 41.5', 'EU_ 42 / EU 42', 'EU_ 42.5 / EU 42.5', 'EU_ 43 / EU 43', 'EU_ 43.5 / EU 43.5', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","These black suede ankle boots from Saint Laurent offer ultimate style and comfort in a slim silhouette, and feature elastic side panels and leather soles.",[]
"['Men', 'Designers', ""Tod's"", 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/da/P00547227.jpg,Tod's,Gommino driving suede shoes,€ 415,,,P00547227,"['UK_ 6 / EU 39.5', 'UK_ 6.5 / EU 40', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43-43.5', 'UK_ 9.5 / EU 44', 'UK_ 10 / EU 44.5', 'UK_ 10.5 / EU 45', 'UK_ 11 / EU 45.5', 'UK_ 11.5 / EU 46.5', 'UK_ 12 / EU 47', 'UK_ 13 / EU 48']","Made from suede, these brown loafers from Tod's have a slip-on design, detailed with ties at the front and the label's signature rubber pebbles on the heel and soles.","['https://img.mytheresa.com/332/376/90/jpeg/catalog/product/da/P00547227_b1.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/15/P00757094.jpg']"
"['Men', 'Designers', 'Valentino Garavani', 'Shoes', 'Formal shoes', 'Brogues']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/11/P00806769.jpg,Valentino Garavani,Leather Oxford shoes,€ 825,,,P00806769,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Valentino Garavani's polished approach to formalwear is spotlighted by these Oxford shoes. Made of polished calfskin, this round-toe design features lace-up vamps and thick leather soles, ensuring both style and durability.","['https://img.mytheresa.com/332/376/90/jpeg/catalog/product/11/P00806769_b1.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/b2/P00734282.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/35/P00675777.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/19/P00768729.jpg']"
"['Men', 'Designers', 'Gucci', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/e1/P00815990.jpg,Gucci,Horsebit leather loafers,€ 925,,,P00815990,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46']","One of Gucci's most powerful emblems, the Horsebit points to the house's storied fascination with equestrian design codes. The emblem appears on the vamps on these classic black leather loafers, which are detailed with braided trims.",[]
"['Men', 'Designers', 'Loewe', 'Shoes', 'Slippers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/1b/P00840195.jpg,Loewe,Toy leather slippers,€ 575,,,P00840195,"['EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Crafted from smooth nappa leather, the Toy slippers are a sophisticated choice with seamless construction and a squared-toe silhouette. All of Loewe's leather goods are handcrafted in Spain, reflecting the house's centuries-long expertise and artisanal methods.",[]
"['Men', 'Designers', ""Tod's"", 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/c3/P00837645.jpg,Tod's,Gommino suede driving shoes,€ 549,,,P00837645,"['UK_ 6 / EU 39.5', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43-43.5', 'UK_ 9.5 / EU 44', 'UK_ 10 / EU 44.5', 'UK_ 10.5 / EU 45', 'UK_ 11 / EU 45.5', 'UK_ 11.5 / EU 46.5', 'UK_ 12 / EU 47', 'UK_ 13 / EU 48']","The Gommino driving shoes from Tods will make a timeless addition to your footwear edit. Made from suede, this dark brown style has a slip-on design detailed with the label's signature rubber pebbles on the heel and soles.",[]
"['Men', 'Designers', 'Brunello Cucinelli', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/8a/P00830248.jpg,Brunello Cucinelli,Suede Chelsea boots,€ 835,,,P00830248,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Each Brunello Cucinelli design is handmade in Solomeo, a medieval hamlet whose art and traditions are woven into the house's every fiber. These Chelsea boots are crafted from refined suede with rubber soles and elasticated sides.","['https://img.mytheresa.com/332/376/90/jpeg/catalog/product/8a/P00830248_b1.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/37/P00830308.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/a3/P00830201.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/c6/P00830444.jpg']"
"['Men', 'Designers', 'Acne Studios', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/a8/P00760153.jpg,Acne Studios,Embellished leather loafers,€ 499,€ 161,40% off,P00760153,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Acne Studios experiments with the classics, inspiring a new generation of Scandi design. These calfskin loafers are detailed with ""A"" and ""S"" gold foil letters on the round toes and finished with gathered apron seaming.","['https://img.mytheresa.com/332/376/90/jpeg/catalog/product/a8/P00760153_b1.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/7c/P00760104.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/14/P00763354.jpg']"
"['Men', 'Designers', 'Loewe', 'Shoes', 'Sandals & slides']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/0d/P00806570.jpg,Loewe,Anagram Ease leather sandals,€ 635,,,P00806570,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45']","Loewe's Ease thong sandals are the ultimate comfy warm-weather footwear. Made from tan-orange leather and set atop a rubber sole, the style has a molded footbed and is finished with an Anagram buckle.",[]
"['Men', 'Designers', 'Tom Ford', 'Shoes', 'Sandals & slides']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/3b/P00817539.jpg,Tom Ford,Camouflage suede slides,€ 499,,,P00817539,"['UK_ 6 / EU 39', 'UK_ 7 / EU 40', 'UK_ 8 / EU 41', 'UK_ 9 / EU 42', 'UK_ 10 / EU 43', 'UK_ 11 / EU 44', 'UK_ 12 / EU 45', 'UK_ 13 / EU 46', 'UK_ 14 / EU 47']","Slip into the relaxed sophistication of Tom Ford with these black and khaki green slides. The wide camouflage suede vamps are perforated with ""TF"" motifs and rest on molded rubber soles.",[]
"['Men', 'Designers', 'Dolce & Gabbana', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/62/P00816373.jpg,Dolce&Gabbana,Leather Chelsea boots,€ 660,,,P00816373,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","These Chelsea boots from Dolce&Gabbana are equal parts chic and sturdy. Made from brushed black leather, the style features elasticated inserts, a heel tab, and a chunky rubber sole for ultimate comfort.",[]
